id;product_id;list_item_id;purchase_date;quantity_purchased;purchase_price;supplier_id;is_on_sale;expiration_date;created_by_user_id;updated_by_user_id;purchased_by_user_id;deleted_by_user_id;created_at;updated_at;deleted_at
1;1;0;26/07/2026;1,5;2,39;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
2;2;0;26/07/2026;1;1,38;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
3;3;0;26/07/2026;12;11,99;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
4;4;0;26/07/2026;1;2,54;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
5;5;0;26/07/2026;1;4,89;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
6;6;0;26/07/2026;1;1,7;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
7;7;0;26/07/2026;1;5,79;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
8;8;0;26/07/2026;1;2,75;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
9;9;0;26/07/2026;1;4,39;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
10;10;0;26/07/2026;1;1,92;1;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
11;11;0;07/07/2026;1;3,79;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
12;12;0;07/07/2026;1;7,99;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
13;13;0;07/07/2026;1;3,79;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
14;14;0;07/07/2026;1;2,39;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
15;15;0;07/07/2026;1;0,99;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
16;16;0;07/07/2026;1;1,29;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
17;17;0;07/07/2026;1;3,99;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
18;18;0;07/07/2026;1;0,35;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
19;19;0;07/07/2026;1;1,5;5;t;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
20;20;0;07/07/2026;1;1,39;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
21;21;0;07/07/2026;1;0,99;5;t;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
22;22;0;07/07/2026;1;1,89;5;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
23;23;0;09/07/2026;1;13,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
24;24;0;09/07/2026;1;11,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
25;25;0;09/07/2026;1;16,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
26;3;0;09/07/2026;4;4,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
27;26;0;09/07/2026;1;2,5;11;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
28;27;0;09/07/2026;1;2,7;11;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
29;28;0;09/07/2026;1;2,2;11;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
30;29;0;09/07/2026;1;3,99;14;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
31;22;0;09/07/2026;1;1,59;14;t;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
32;30;0;09/07/2026;1;4,15;14;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
33;31;0;09/07/2026;1;1,99;14;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
34;32;0;09/07/2026;1;2,89;14;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
35;22;0;27/08/2026;1;1,89;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
36;23;0;27/08/2026;1;13,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
37;24;0;27/08/2026;1;11,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
38;33;0;27/08/2026;1;12,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
39;25;0;27/08/2026;1;16,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
40;34;0;27/08/2026;1;10,99;2;t;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
41;35;0;27/08/2026;1;11,99;2;f;NULL;1;NULL;1;NULL;26/08/2026;NULL;NULL
